Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Object ID
rplS	b2606	2744183	2744530	50S ribosomal subunit protein L19	EG10880
yibT	b4554	3776171	3776380	protein YibT	G0-10468
rrsH	b0201	223771	225312	16S ribosomal RNA	EG30090
yabP	b0056	58474	59124	putative uncharacterized protein YabP	EG12610
rrfE	b4010	4213040	4213159	5S ribosomal RNA	EG30074
bcsF	b3537	3698026	3698217	putative cellulose biosynthesis protein BcsF	EG12264
rpsQ	b3311	3448314	3448568	30S ribosomal subunit protein S17	EG10916
yehR	b2123	2211225	2211686	DUF1307 domain-containing lipoprotein YehR	EG12004
rpsA	b0911	961995	963668	30S ribosomal subunit protein S1	EG10900
yidI	b3677	3856415	3856864	putative inner membrane protein YidI	EG11697
rplP	b3313	3448759	3449169	50S ribosomal subunit protein L16	EG10877
yjjV	b4378	4613481	4614260	putative metal-dependent hydrolase YjjV	G7952
prfA	b1211	1265012	1266094	peptide chain release factor RF1	EG10761
ychE	b1242	1298598	1299245	MarC family putative inner membrane protein YchE	EG11342
rrsD	b3278	3427221	3428762	16S ribosomal RNA	EG30087
yrhB	b3446	3584759	3585043	putative heat shock chaperone	G7763
rrfB	b3971	4171637	4171756	5S ribosomal RNA	EG30071
hemY	b3802	3986686	3987882	protein HemY	EG10434
raiA	b2597	2737154	2737495	ribosome-associated inhibitor A	EG11151
tdcF	b3113	3259721	3260110	putative enamine/imine deaminase	G7626
rpsN	b3307	3446579	3446884	30S ribosomal subunit protein S14	EG10913
ygfF	b2902	3045158	3045901	putative oxidoreductase YgfF	G7514
rpmF	b1089	1147367	1147540	50S ribosomal subunit protein L32	EG10890
rplM	b3231	3378223	3378651	50S ribosomal subunit protein L13	EG10874
infB	b3168	3313342	3316014	translation initiation factor IF-2&beta;' // translation initiation factor IF-2&beta; // translation initiation factor IF-2	EG10505
ylbI	b4632	529497	529592	RHS element protein YlbI	G0-16713
ogt	    b1335	1399721	1400236	methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase	EG10668
yeeH	b4639	2066068	2066154		G0-16658
hsdM	b4349	4581459	4583048	type I restriction enzyme EcoKI methylase subunit	EG10458
yafF	b4503	239190	239378	putative uncharacterized protein YafF	G0-10431
hsdS	b4348	4580068	4581462	type I restriction enzyme EcoKI specificity subunit	EG10460
nmpC	b0553			DLP12 prophage; putative outer membrane porin NmpC	EG10659
dam	    b3387	3515077	3515913	DNA adenine methyltransferase	EG10204
yjhR	b4308	4535015	4536031	KpLE2 phage-like element; PLD-like domain-containing protein YjhR	G7918
mrr	    b4351	4586949	4587863	Type IV methyl-directed restriction enzyme EcoKMrr	EG10612
yegZ	b2083	2167602	2167820	phage protein D	G7120
